,Date,Team,Name,DL_length,team_id,player_id
4586,20060604, Cardinals,Albert Pujols,15,SLN,pujoa001
4587,20060604, Cubs,Scott Williamson,15,CHN,wills002
4588,20060604, White Sox,Jeff Nelson,15,CHA,nelsj001
4590,20060605, Pirates,Ryan Doumit,15,PIT,doumr001
4591,20060606, Astros,Brandon Backe,60,HOU,backb001
4592,20060606, Astros,Roy Oswalt,15,HOU,oswar001
4594,20060606, Cardinals,Larry Bigbie,15,SLN,bigbl001
4598,20060606, Diamondbacks,Juan Cruz (Carlos),15,ARI,
4599,20060606, Diamondbacks,Terry Mulholland,15,ARI,mulht001
4603,20060606, Tigers,Mike Maroth,60,DET,marom001
4609,20060607, White Sox,Cliff Politte,15,CHA,polic001
4611,20060608, Athletics,Rich Harden,15,OAK,hardr001
4615,20060609, Brewers,Jorge De La Rosa,15,MIL,
4616,20060609, Cubs,Kerry Wood,15,CHN,woodk002
4617,20060609, Reds,Edwin Encarnacion,15,CIN,encae001
4618,20060609, Twins,Matt Guerrier,15,MIN,guerm001
4619,20060610, Blue Jays,Gustavo Chacin,15,TOR,chacg001
4620,20060610, Blue Jays,Pete Walker,15,TOR,walkp001
4622,20060610, Phillies,Mike Lieberthal,15,PHI,liebm001
4630,20060613, Braves,John Thomson,15,ATL,thomj005
4631,20060613, Dodgers,Eric Gagne,15,LAN,gagne001
4633,20060613, Giants,Lance Niekro,15,SFN,niekl001
4634,20060613, Marlins,Josh Willingham,15,MIA,willj004
4635,20060613, Rangers,John Wasdin,15,TEX,wasdj001
4636,20060613, Red Sox,Keith Foulke,15,BOS,foulk001
4637,20060613, Red Sox,Matt Clement,15,BOS,clemm001
4639,20060613, Royals,Mike Sweeney,60,KCA,sweem002
4643,20060614, Braves,Chris Reitsma,15,ATL,reitc001
4644,20060614, Devil Rays,Dan Miceli,60,TBA,miced001
4645,20060614, Devil Rays,Tyler Walker,15,TBA,walkt003
4646,20060614, Dodgers,Jason Repko,60,LAN,repkj001
4647,20060614, Orioles,Jay Gibbons,15,BAL,gibbj002
4648,20060614, Phillies,Julio Santana,60,PHI,santj001
4649,20060615, Athletics,Frank Thomas (Edward),15,OAK,
4650,20060615, Indians,Casey Blake,15,CLE,blakc001
4651,20060615, Reds,Paul Wilson,60,CIN,wilsp001
4654,20060617, Mets,Cliff Floyd,15,NYN,floyc001
4655,20060617, Reds,Brandon Claussen,15,CIN,claub001
4656,20060618, Braves,Brian Jordan (O'Neal),15,ATL,
4657,20060618, Cubs,Angel Pagan,60,CHN,pagaa001
4658,20060618, Cubs,Glendon Rusch,15,CHN,ruscg001
4660,20060618, Pirates,Jody Gerut,60,PIT,geruj001
4661,20060618, Pirates,Victor Santos (Irving),15,PIT,
4664,20060620, Athletics,Milton Bradley,15,OAK,bradm001
4666,20060620, Dodgers,Bill Mueller,60,LAN,muelb001
4667,20060620, Padres,Dave Roberts (Ray),15,SDN,
4668,20060620, Rangers,Kameron Loe,15,TEX,loe-k001
4671,20060621, Devil Rays,Ruddy Lugo,15,TBA,lugor002
4672,20060621, Diamondbacks,Scott Hairston,15,ARI,hairs001
4677,20060622, Cardinals,Mark Mulder,15,SLN,muldm001
4679,20060623, Angels,Darin Erstad,15,ANA,erstd001
4680,20060623, Athletics,Jay Witasick,15,OAK,witaj001
4682,20060623, Marlins,Carlos Martinez (M.),15,MIA,
4683,20060623, Nationals,Tony Armas Jr.,15,WAS,
4685,20060624, Angels,Dallas McPherson,15,ANA,mcphd001
4686,20060624, Braves,Blaine Boyer,60,ATL,boyeb001
4687,20060624, Braves,Phil Stockman,15,ATL,stocp001
4688,20060624, Indians,Jason Michaels,15,CLE,michj001
4689,20060625, Cubs,Freddie Bynum,15,CHN,bynuf001
4693,20060627, Dodgers,Brett Tomko,15,LAN,tomkb001
4694,20060627, Yankees,Robinson Cano,15,NYA,canor001
4696,20060628, Blue Jays,Pete Walker,15,TOR,walkp001
4698,20060628, Giants,Moises Alou,15,SFN,aloum001
